frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,44,5
1,2,RIGHT,0,191,60,5
2,2,RIGHT,0,191,76,5
3,1,FIRE,0,191,92,5
4,3,LEFT,80,166,108,5
5,0,NOOP,80,155,124,5
6,0,NOOP,80,155,140,5
7,1,FIRE,80,155,156,5
8,1,FIRE,80,155,172,5
9,2,RIGHT,0,191,188,5
10,2,RIGHT,0,191,204,5
11,2,RIGHT,0,191,220,5
12,1,FIRE,0,191,236,5
13,2,RIGHT,0,191,252,5
14,2,RIGHT,0,191,12,5
15,3,LEFT,80,166,28,5
16,1,FIRE,80,155,44,5
17,1,FIRE,80,155,60,5
18,3,LEFT,166,80,76,5
19,1,FIRE,166,69,92,5
20,0,NOOP,166,69,108,5
21,3,LEFT,184,55,124,5
22,0,NOOP,184,55,140,5
23,1,FIRE,184,55,156,5
24,3,LEFT,184,55,172,5
25,3,LEFT,184,55,188,5
26,0,NOOP,184,55,204,5
27,0,NOOP,184,55,220,5
28,1,FIRE,184,55,236,5
29,2,RIGHT,108,115,252,5
30,2,RIGHT,18,191,12,5
31,2,RIGHT,0,191,28,5
32,3,LEFT,84,160,44,5
33,3,LEFT,178,68,60,5
34,1,FIRE,182,55,76,5
35,3,LEFT,184,55,92,5
36,2,RIGHT,98,126,108,5
37,3,LEFT,184,56,124,5
38,2,RIGHT,92,131,140,5
39,3,LEFT,184,62,156,5
40,0,NOOP,184,55,172,5
41,3,LEFT,92,131,236,4
42,0,NOOP(refire),92,142,252,4
43,3,LEFT,172,74,12,4
44,3,LEFT,184,55,28,4
45,1,FIRE,184,55,44,4
46,0,NOOP,184,55,60,4
47,2,RIGHT,92,131,76,4
48,2,RIGHT,0,191,92,4
49,2,RIGHT,0,191,108,4
50,2,RIGHT,0,191,124,4
51,3,LEFT,84,160,140,4
52,1,FIRE,84,151,156,4
53,0,NOOP,84,151,172,4
54,1,FIRE,84,151,188,4
55,2,RIGHT,0,191,204,4
56,1,FIRE,0,191,220,4
57,3,LEFT,84,160,236,4
58,1,FIRE,84,151,252,4
59,3,LEFT,178,68,12,4
60,3,LEFT,184,55,28,4
61,2,RIGHT,92,131,44,4
62,2,RIGHT,0,191,60,4
63,3,LEFT,92,154,76,4
64,0,NOOP,92,143,92,4
65,0,NOOP,92,143,108,4
66,2,RIGHT,0,191,124,4
67,1,FIRE,0,191,140,4
68,2,RIGHT,0,191,156,4
69,3,LEFT,84,160,172,4
70,3,LEFT,178,68,188,4
71,3,LEFT,184,55,204,4
72,2,RIGHT,92,131,220,4
73,1,FIRE,92,142,236,4
74,3,LEFT,184,62,252,4
