frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,144,5
1,3,LEFT,84,160,160,5
2,3,LEFT,102,121,224,4
3,0,NOOP(refire),96,138,240,4
4,3,LEFT,184,57,0,4
5,1,FIRE,184,55,16,4
6,3,LEFT,184,55,32,4
7,1,FIRE,184,55,48,4
8,2,RIGHT,92,131,64,4
9,2,RIGHT,0,191,80,4
10,2,RIGHT,0,191,96,4
11,2,RIGHT,0,191,112,4
12,3,LEFT,84,160,128,4
13,2,RIGHT,0,191,144,4
14,3,LEFT,84,160,160,4
15,0,NOOP,84,151,176,4
16,1,FIRE,84,151,192,4
17,0,NOOP,84,151,208,4
18,1,FIRE,84,151,224,4
19,3,LEFT,178,68,240,4
20,1,FIRE,178,57,0,4
21,0,NOOP,178,57,16,4
22,2,RIGHT,84,139,32,4
23,3,LEFT,178,68,48,4
24,0,NOOP,178,57,64,4
25,1,FIRE,178,57,80,4
26,3,LEFT,184,55,96,4
27,3,LEFT,184,55,112,4
28,1,FIRE,184,55,128,4
29,1,FIRE,184,55,144,4
30,1,FIRE,184,55,160,4
31,3,LEFT,184,55,176,4
32,0,NOOP,184,55,192,4
33,1,FIRE,184,55,208,4
34,1,FIRE,184,55,224,4
35,3,LEFT,184,55,240,4
36,3,LEFT,184,55,0,4
37,0,NOOP,184,55,16,4
38,2,RIGHT,92,131,32,4
39,1,FIRE,80,154,48,4
40,0,NOOP,80,154,64,4
41,0,NOOP,80,154,80,4
42,1,FIRE,80,154,96,4
43,3,LEFT,172,74,112,4
44,3,LEFT,184,55,128,4
45,3,LEFT,184,55,144,4
46,0,NOOP,184,55,160,4
47,1,FIRE,184,55,176,4
48,3,LEFT,184,55,192,4
49,2,RIGHT,92,131,208,4
50,2,RIGHT,0,191,224,4
51,3,LEFT,80,166,240,4
52,3,LEFT,172,74,0,4
53,3,LEFT,184,55,16,4
54,0,NOOP,184,55,32,4
55,2,RIGHT,92,131,48,4
56,1,FIRE,92,142,64,4
57,3,LEFT,184,62,80,4
58,1,FIRE,184,55,96,4
59,0,NOOP,184,55,112,4
60,0,NOOP,184,55,128,4
61,0,NOOP,184,55,144,4
62,1,FIRE,184,55,160,4
63,2,RIGHT,114,109,176,4
64,1,FIRE,114,120,192,4
65,1,FIRE,114,120,208,4
66,3,LEFT,184,55,224,4
67,3,LEFT,184,55,240,4
68,1,FIRE,184,55,0,4
69,1,FIRE,184,55,16,4
70,0,NOOP,184,55,32,4
71,1,FIRE,184,55,48,4
72,1,FIRE,184,55,64,4
73,3,LEFT,184,55,80,4
74,3,LEFT,184,55,96,4
75,2,RIGHT,98,126,112,4
76,2,RIGHT,0,191,128,4
77,3,LEFT,98,148,144,4
78,0,NOOP,98,137,160,4
79,0,NOOP,98,137,176,4
80,2,RIGHT,12,191,192,4
81,0,NOOP,12,191,208,4
82,0,NOOP,12,191,224,4
83,1,FIRE,12,191,240,4
84,0,NOOP,12,191,0,4
85,3,LEFT,92,154,16,4
86,1,FIRE,92,143,32,4
87,0,NOOP,92,143,48,4
88,1,FIRE,92,143,64,4
89,1,FIRE,92,143,80,4
90,1,FIRE,92,143,96,4
91,1,FIRE,92,143,112,4
92,1,FIRE,92,143,128,4
93,0,NOOP,92,143,144,4
94,0,NOOP,92,143,160,4
95,1,FIRE,92,143,176,4
96,0,NOOP,92,143,192,4
97,1,FIRE,92,143,208,4
98,0,NOOP,92,143,224,4
99,1,FIRE,92,143,240,4
100,0,NOOP,92,143,0,4
101,0,NOOP,92,143,16,4
102,0,NOOP,92,143,32,4
103,1,FIRE,92,143,48,4
104,3,LEFT,166,80,64,4
105,1,FIRE,166,69,80,4
106,1,FIRE,166,69,96,4
107,3,LEFT,184,55,112,4
108,0,NOOP,184,55,128,4
109,2,RIGHT,98,126,144,4
110,2,RIGHT,0,191,160,4
111,3,LEFT,98,148,176,4
112,0,NOOP,98,137,192,4
113,1,FIRE,98,137,208,4
114,3,LEFT,184,62,224,4
115,0,NOOP,184,55,240,4
116,2,RIGHT,92,131,0,4
117,3,LEFT,92,131,64,3
118,0,NOOP(refire),92,142,80,3
119,0,NOOP,92,142,96,3
120,3,LEFT,178,68,112,3
121,0,NOOP,178,57,128,3
122,3,LEFT,184,55,144,3
123,3,LEFT,184,55,160,3
124,2,RIGHT,98,126,176,3
125,0,NOOP,98,136,192,3
126,1,FIRE,98,136,208,3
127,0,NOOP,98,136,224,3
128,0,NOOP,98,136,240,3
129,0,NOOP,98,136,0,3
130,1,FIRE,98,136,16,3
131,0,NOOP,98,136,32,3
132,3,LEFT,172,74,48,3
133,1,FIRE,172,63,64,3
134,3,LEFT,184,55,80,3
135,1,FIRE,184,55,96,3
136,3,LEFT,184,55,112,3
137,2,RIGHT,98,126,128,3
138,1,FIRE,98,136,144,3
139,2,RIGHT,0,191,160,3
140,3,LEFT,98,148,176,3
141,1,FIRE,98,137,192,3
142,2,RIGHT,0,191,208,3
143,3,LEFT,86,160,224,3
144,3,LEFT,178,68,240,3
145,3,LEFT,184,55,0,3
146,3,LEFT,92,131,64,2
147,0,NOOP(refire),92,142,80,2
148,3,LEFT,184,62,96,2
149,3,LEFT,184,55,112,2
150,3,LEFT,184,55,128,2
151,0,NOOP,184,55,144,2
152,1,FIRE,184,55,160,2
153,2,RIGHT,92,131,176,2
154,2,RIGHT,0,191,192,2
155,2,RIGHT,0,191,208,2
156,3,LEFT,84,160,224,2
157,2,RIGHT,18,191,240,2
158,3,LEFT,28,191,48,1
159,0,NOOP(refire),28,191,64,1
160,0,NOOP,28,191,80,1
161,3,LEFT,120,126,96,1
162,3,LEFT,184,55,112,1
163,0,NOOP,184,55,128,1
164,1,FIRE,184,55,144,1
165,1,FIRE,184,55,160,1
166,1,FIRE,184,55,176,1
167,1,FIRE,184,55,192,1
168,2,RIGHT,92,131,208,1
169,0,NOOP,92,142,224,1
170,1,FIRE,92,142,240,1
171,0,NOOP,92,142,0,1
172,0,NOOP,92,142,16,1
173,0,NOOP,92,142,32,1
174,2,RIGHT,12,191,48,1
175,1,FIRE,12,191,64,1
176,1,FIRE,12,191,80,1
177,3,LEFT,104,142,96,1
178,3,LEFT,184,55,112,1
