frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,156,5
1,3,LEFT,74,172,172,5
2,3,LEFT,80,145,236,4
3,0,NOOP(refire),80,154,252,4
4,3,LEFT,172,74,12,4
5,3,LEFT,184,55,28,4
6,1,FIRE,184,55,44,4
7,3,LEFT,184,55,60,4
8,1,FIRE,184,55,76,4
9,2,RIGHT,92,131,92,4
10,2,RIGHT,0,191,108,4
11,2,RIGHT,0,191,124,4
12,3,LEFT,74,172,140,4
13,1,FIRE,74,161,156,4
14,1,FIRE,74,161,172,4
15,2,RIGHT,0,191,188,4
16,2,RIGHT,0,191,204,4
17,2,RIGHT,0,191,220,4
18,3,LEFT,84,160,236,4
19,3,LEFT,178,68,252,4
20,3,LEFT,184,55,12,4
21,0,NOOP,184,55,28,4
22,1,FIRE,184,55,44,4
23,2,RIGHT,92,131,60,4
24,1,FIRE,92,142,76,4
25,0,NOOP,92,142,92,4
26,1,FIRE,92,142,108,4
27,2,RIGHT,0,191,124,4
28,2,RIGHT,0,191,140,4
29,0,NOOP,0,191,156,4
30,0,NOOP,0,191,172,4
31,1,FIRE,0,191,188,4
32,0,NOOP,0,191,204,4
33,3,LEFT,84,160,220,4
34,3,LEFT,178,68,236,4
35,0,NOOP,178,57,252,4
36,3,LEFT,184,55,12,4
37,3,LEFT,184,55,28,4
38,1,FIRE,184,55,44,4
39,3,LEFT,184,55,60,4
40,2,RIGHT,92,131,76,4
41,2,RIGHT,0,191,92,4
42,1,FIRE,0,191,108,4
43,3,LEFT,86,160,124,4
44,3,LEFT,178,68,140,4
45,0,NOOP,178,57,156,4
46,3,LEFT,184,55,172,4
47,0,NOOP,184,55,188,4
48,1,FIRE,184,55,204,4
49,0,NOOP,184,55,220,4
50,3,LEFT,184,55,236,4
51,3,LEFT,184,55,252,4
52,0,NOOP,184,55,12,4
53,2,RIGHT,98,126,28,4
54,1,FIRE,92,142,44,4
55,0,NOOP,92,142,60,4
56,3,LEFT,178,68,76,4
57,0,NOOP,178,57,92,4
58,0,NOOP,178,57,108,4
59,1,FIRE,178,57,124,4
60,0,NOOP,178,57,140,4
61,0,NOOP,178,57,156,4
62,2,RIGHT,86,137,172,4
63,2,RIGHT,0,191,188,4
64,2,RIGHT,0,191,204,4
65,2,RIGHT,0,191,220,4
66,2,RIGHT,0,191,236,4
67,0,NOOP,0,191,252,4
68,3,LEFT,80,166,12,4
69,3,LEFT,172,74,28,4
70,1,FIRE,172,63,44,4
71,0,NOOP,172,63,60,4
72,2,RIGHT,84,139,76,4
73,2,RIGHT,0,191,92,4
74,1,FIRE,0,191,108,4
75,1,FIRE,0,191,124,4
76,3,LEFT,84,160,140,4
77,3,LEFT,178,68,156,4
78,1,FIRE,178,57,172,4
79,0,NOOP,178,57,188,4
80,0,NOOP,178,57,204,4
81,1,FIRE,178,57,220,4
82,1,FIRE,178,57,236,4
83,3,LEFT,184,55,252,4
84,0,NOOP,184,55,12,4
85,0,NOOP,184,55,28,4
86,0,NOOP,184,55,44,4
87,0,NOOP,184,55,60,4
