frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,152,5
1,3,LEFT,84,160,168,5
2,3,LEFT,98,126,232,4
2,0,NOOP(refire),98,136,248,4
3,3,LEFT,184,56,8,4
4,1,FIRE,184,55,24,4
5,3,LEFT,184,55,40,4
6,1,FIRE,184,55,56,4
7,2,RIGHT,92,131,72,4
8,2,RIGHT,0,191,88,4
9,2,RIGHT,0,191,104,4
10,2,RIGHT,0,191,120,4
11,3,LEFT,74,172,136,4
12,3,LEFT,166,80,152,4
13,1,FIRE,178,57,168,4
14,0,NOOP,178,57,184,4
15,1,FIRE,178,57,200,4
16,1,FIRE,178,57,216,4
17,0,NOOP,178,57,232,4
18,0,NOOP,178,57,248,4
19,1,FIRE,178,57,8,4
20,0,NOOP,178,57,24,4
21,3,LEFT,184,55,40,4
22,2,RIGHT,92,131,56,4
23,1,FIRE,92,142,72,4
24,0,NOOP,92,142,88,4
25,1,FIRE,92,142,104,4
26,0,NOOP,92,142,120,4
27,2,RIGHT,0,191,136,4
28,2,RIGHT,0,191,152,4
29,2,RIGHT,0,191,168,4
30,3,LEFT,84,160,184,4
31,3,LEFT,178,68,200,4
32,2,RIGHT,84,139,216,4
33,3,LEFT,166,80,232,4
34,3,LEFT,184,55,248,4
35,2,RIGHT,92,131,8,4
36,2,RIGHT,0,191,24,4
37,2,RIGHT,0,191,40,4
38,0,NOOP,0,191,56,4
39,3,LEFT,84,160,72,4
40,0,NOOP,84,151,88,4
41,0,NOOP,84,151,104,4
42,3,LEFT,178,68,120,4
43,3,LEFT,184,55,136,4
44,1,FIRE,184,55,152,4
45,1,FIRE,98,126,216,3
45,0,NOOP(refire),92,142,232,3
46,3,LEFT,184,62,248,3
47,3,LEFT,92,131,56,2
47,0,NOOP(refire),92,142,72,2
48,3,LEFT,184,62,88,2
49,1,FIRE,184,55,104,2
50,1,FIRE,184,55,120,2
51,0,NOOP,184,55,136,2
52,2,RIGHT,92,131,152,2
53,1,FIRE,86,148,168,2
54,0,NOOP,86,148,184,2
55,0,NOOP,86,148,200,2
56,2,RIGHT,0,191,216,2
57,2,RIGHT,0,191,232,2
58,3,LEFT,84,160,248,2
59,0,NOOP,84,151,8,2
60,0,NOOP,84,151,24,2
61,3,LEFT,178,68,40,2
62,3,LEFT,184,55,56,2
63,3,LEFT,184,55,72,2
64,3,LEFT,184,55,88,2
65,2,RIGHT,92,131,104,2
66,1,FIRE,92,142,120,2
67,0,NOOP,92,142,136,2
68,1,FIRE,92,142,152,2
69,2,RIGHT,0,191,168,2
70,3,LEFT,92,154,184,2
71,1,FIRE,92,143,200,2
72,1,FIRE,92,143,216,2
73,1,FIRE,92,143,232,2
74,3,LEFT,184,62,248,2
75,0,NOOP,184,55,8,2
76,0,NOOP,184,55,24,2
77,0,NOOP,184,55,40,2
78,3,LEFT,184,55,56,2
79,2,RIGHT,92,131,72,2
80,2,RIGHT,0,191,88,2
81,2,RIGHT,0,191,104,2
82,2,RIGHT,0,191,120,2
83,3,LEFT,80,166,136,2
84,1,FIRE,84,151,152,2
85,0,NOOP,84,151,168,2
86,0,NOOP,84,151,184,2
87,1,FIRE,84,151,200,2
88,0,NOOP,84,151,216,2
89,3,LEFT,178,68,232,2
90,2,RIGHT,84,139,248,2
91,0,NOOP,84,150,8,2
92,1,FIRE,84,150,24,2
93,2,RIGHT,0,191,40,2
94,2,RIGHT,0,191,56,2
95,3,LEFT,84,160,72,2
96,2,RIGHT,0,191,88,2
97,3,LEFT,0,191,152,1
97,0,NOOP(refire),0,191,168,1
98,3,LEFT,90,155,184,1
99,3,LEFT,182,62,200,1
100,2,RIGHT,90,133,216,1
101,3,LEFT,0,191,84,0
