frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,136,5
1,3,LEFT,84,160,152,5
2,3,LEFT,84,139,216,4
2,0,NOOP(refire),84,150,232,4
3,3,LEFT,172,74,248,4
4,3,LEFT,184,55,8,4
5,1,FIRE,184,55,24,4
6,3,LEFT,184,55,40,4
7,1,FIRE,184,55,56,4
8,2,RIGHT,92,131,72,4
9,2,RIGHT,0,191,88,4
10,2,RIGHT,0,191,104,4
11,3,LEFT,80,166,120,4
12,0,NOOP,80,155,136,4
13,0,NOOP,80,155,152,4
14,1,FIRE,80,155,168,4
15,1,FIRE,80,155,184,4
16,1,FIRE,80,155,200,4
17,0,NOOP,80,155,216,4
18,0,NOOP,80,155,232,4
19,3,LEFT,166,80,248,4
20,1,FIRE,172,63,8,4
21,3,LEFT,184,55,24,4
22,3,LEFT,184,55,40,4
23,3,LEFT,184,55,56,4
24,3,LEFT,184,55,72,4
25,0,NOOP,184,55,88,4
26,2,RIGHT,98,126,104,4
27,1,FIRE,98,136,120,4
28,0,NOOP,98,136,136,4
29,1,FIRE,98,136,152,4
30,0,NOOP,98,136,168,4
31,3,LEFT,184,56,184,4
32,1,FIRE,184,55,200,4
33,1,FIRE,184,55,216,4
34,2,RIGHT,92,131,232,4
35,0,NOOP,86,148,248,4
36,1,FIRE,86,148,8,4
37,1,FIRE,86,148,24,4
38,0,NOOP,86,148,40,4
39,0,NOOP,86,148,56,4
40,0,NOOP,86,148,72,4
41,3,LEFT,178,68,88,4
42,0,NOOP,178,57,104,4
43,2,RIGHT,86,137,120,4
44,3,LEFT,86,137,184,3
44,0,NOOP(refire),80,154,200,3
45,3,LEFT,172,74,216,3
46,3,LEFT,184,55,232,3
47,1,FIRE,184,55,248,3
48,0,NOOP,184,55,8,3
49,3,LEFT,184,55,24,3
50,2,RIGHT,92,131,40,3
51,0,NOOP,92,142,56,3
52,1,FIRE,92,142,72,3
53,2,RIGHT,0,191,88,3
54,3,LEFT,74,172,104,3
55,1,FIRE,0,191,168,2
55,0,NOOP(refire),0,191,184,2
56,3,LEFT,84,160,200,2
57,3,LEFT,90,133,8,1
57,0,NOOP(refire),90,144,24,1
58,2,RIGHT,0,191,40,1
59,3,LEFT,90,155,56,1
60,3,LEFT,182,62,72,1
61,3,LEFT,184,55,88,1
62,0,NOOP,184,55,104,1
63,1,FIRE,184,55,120,1
64,1,FIRE,184,55,136,1
65,2,RIGHT,92,131,152,1
66,2,RIGHT,0,191,168,1
67,0,NOOP,0,191,184,1
68,0,NOOP,0,191,200,1
69,2,RIGHT,0,191,216,1
70,2,RIGHT,0,191,232,1
71,0,NOOP,0,191,248,1
72,0,NOOP,0,191,8,1
73,1,FIRE,0,191,24,1
74,3,LEFT,84,160,40,1
75,0,NOOP,84,151,56,1
76,0,NOOP,84,151,72,1
77,3,LEFT,178,68,88,1
78,1,FIRE,184,55,104,1
79,1,FIRE,184,55,120,1
80,2,RIGHT,92,131,136,1
81,1,FIRE,92,142,152,1
82,0,NOOP,92,142,168,1
83,0,NOOP,92,142,184,1
84,0,NOOP,92,142,200,1
85,1,FIRE,92,142,216,1
86,2,RIGHT,0,191,232,1
87,1,FIRE,0,191,248,1
88,3,LEFT,92,154,8,1
89,0,NOOP,92,143,24,1
90,0,NOOP,92,143,40,1
91,3,LEFT,184,62,56,1
92,2,RIGHT,92,131,72,1
93,3,LEFT,172,74,88,1
94,3,LEFT,0,191,56,0
