frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,200,5
1,3,LEFT,74,172,216,5
2,3,LEFT,74,150,24,4
2,0,NOOP(refire),68,166,40,4
3,3,LEFT,154,92,56,4
4,3,LEFT,184,55,72,4
5,3,LEFT,184,55,88,4
6,0,NOOP,184,55,104,4
7,1,FIRE,184,55,120,4
8,1,FIRE,184,55,136,4
9,1,FIRE,184,55,152,4
10,1,FIRE,184,55,168,4
11,3,LEFT,184,55,184,4
12,0,NOOP,184,55,200,4
13,0,NOOP,184,55,216,4
14,1,FIRE,184,55,232,4
15,3,LEFT,184,55,248,4
16,1,FIRE,184,55,8,4
17,1,FIRE,184,55,24,4
18,1,FIRE,184,55,40,4
19,2,RIGHT,92,131,56,4
20,2,RIGHT,0,191,72,4
21,2,RIGHT,0,191,88,4
22,2,RIGHT,0,191,104,4
23,3,LEFT,84,160,120,4
24,2,RIGHT,0,191,136,4
25,3,LEFT,0,191,200,3
25,0,NOOP(refire),0,191,216,3
26,3,LEFT,84,160,232,3
27,3,LEFT,178,68,248,3
28,3,LEFT,184,55,8,3
29,3,LEFT,98,126,72,2
29,0,NOOP(refire),98,136,88,2
30,2,RIGHT,0,191,104,2
31,3,LEFT,86,160,120,2
32,1,FIRE,86,149,136,2
33,0,NOOP,86,149,152,2
34,0,NOOP,86,149,168,2
35,0,NOOP,86,149,184,2
36,3,LEFT,172,74,200,2
37,0,NOOP,172,63,216,2
38,2,RIGHT,80,143,232,2
39,0,NOOP,80,154,248,2
40,0,NOOP,80,154,8,2
41,2,RIGHT,0,191,24,2
42,0,NOOP,0,191,40,2
43,0,NOOP,0,191,56,2
44,1,FIRE,0,191,72,2
45,3,LEFT,84,160,88,2
46,1,FIRE,90,145,104,2
47,3,LEFT,182,62,120,2
48,0,NOOP,182,55,136,2
49,1,FIRE,182,55,152,2
50,0,NOOP,182,55,168,2
51,0,NOOP,182,55,184,2
52,3,LEFT,184,55,200,2
53,3,LEFT,184,55,216,2
54,3,LEFT,184,55,232,2
55,0,NOOP,184,55,248,2
56,2,RIGHT,92,131,8,2
57,2,RIGHT,0,191,24,2
58,2,RIGHT,0,191,40,2
59,2,RIGHT,0,191,56,2
60,3,LEFT,84,160,72,2
61,3,LEFT,178,68,88,2
62,2,RIGHT,84,139,104,2
63,1,FIRE,84,150,120,2
64,0,NOOP,84,150,136,2
65,1,FIRE,84,150,152,2
66,0,NOOP,84,150,168,2
67,2,RIGHT,0,191,184,2
68,1,FIRE,0,191,200,2
69,0,NOOP,0,191,216,2
70,3,LEFT,80,166,232,2
71,0,NOOP,80,155,248,2
72,3,LEFT,172,74,8,2
73,2,RIGHT,80,145,24,2
74,3,LEFT,172,74,40,2
75,3,LEFT,184,55,56,2
76,3,LEFT,184,55,72,2
77,0,NOOP,184,55,88,2
78,2,RIGHT,92,131,104,2
79,2,RIGHT,0,191,120,2
80,3,LEFT,68,178,136,2
81,3,LEFT,74,150,200,1
81,0,NOOP(refire),74,160,216,1
82,3,LEFT,148,98,232,1
83,3,LEFT,184,55,248,1
84,3,LEFT,184,55,8,1
85,3,LEFT,0,191,108,0
