frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,140,5
1,3,LEFT,80,166,156,5
2,3,LEFT,90,133,220,4
2,0,NOOP(refire),90,144,236,4
3,3,LEFT,182,62,252,4
4,0,NOOP,182,55,12,4
5,1,FIRE,182,55,28,4
6,1,FIRE,182,55,44,4
7,0,NOOP,182,55,60,4
8,2,RIGHT,102,121,76,4
9,2,RIGHT,12,191,92,4
10,2,RIGHT,0,191,108,4
11,3,LEFT,84,160,124,4
12,1,FIRE,84,151,140,4
13,1,FIRE,84,151,156,4
14,1,FIRE,84,151,172,4
15,3,LEFT,178,68,188,4
16,0,NOOP,178,57,204,4
17,1,FIRE,178,57,220,4
18,3,LEFT,184,55,236,4
19,3,LEFT,184,55,252,4
20,0,NOOP,184,55,12,4
21,2,RIGHT,92,131,28,4
22,2,RIGHT,0,191,44,4
23,3,LEFT,80,166,60,4
24,1,FIRE,80,155,76,4
25,0,NOOP,80,155,92,4
26,1,FIRE,80,155,108,4
27,3,LEFT,172,74,124,4
28,3,LEFT,184,55,140,4
29,3,LEFT,184,55,156,4
30,3,LEFT,184,55,172,4
31,1,FIRE,184,55,188,4
32,0,NOOP,184,55,204,4
33,2,RIGHT,92,131,220,4
34,2,RIGHT,0,191,236,4
35,3,LEFT,92,154,252,4
36,2,RIGHT,0,191,12,4
37,1,FIRE,0,191,28,4
38,0,NOOP,0,191,44,4
39,3,LEFT,86,160,60,4
40,2,RIGHT,0,191,76,4
41,3,LEFT,86,160,92,4
42,1,FIRE,0,191,156,3
42,0,NOOP(refire),0,191,172,3
43,3,LEFT,86,160,188,3
44,3,LEFT,86,137,252,2
44,0,NOOP(refire),86,148,12,2
45,3,LEFT,172,74,28,2
46,3,LEFT,184,55,44,2
47,0,NOOP,184,55,60,2
48,3,LEFT,184,55,76,2
49,1,FIRE,184,55,92,2
50,2,RIGHT,92,131,108,2
51,2,RIGHT,0,191,124,2
52,2,RIGHT,0,191,140,2
53,3,LEFT,84,160,156,2
54,2,RIGHT,0,191,172,2
55,3,LEFT,12,191,236,1
55,0,NOOP(refire),12,191,252,1
56,3,LEFT,102,144,12,1
57,3,LEFT,184,55,28,1
58,3,LEFT,184,55,44,1
59,3,LEFT,0,191,60,0
