frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,120,5
1,3,LEFT,84,160,136,5
2,3,LEFT,90,133,200,4
2,0,NOOP(refire),90,144,216,4
3,2,RIGHT,0,191,232,4
4,3,LEFT,90,155,248,4
5,0,NOOP,90,145,8,4
6,0,NOOP,90,145,24,4
7,0,NOOP,90,145,40,4
8,0,NOOP,90,145,56,4
9,3,LEFT,182,62,72,4
10,0,NOOP,182,55,88,4
11,2,RIGHT,90,133,104,4
12,2,RIGHT,0,191,120,4
13,1,FIRE,0,191,136,4
14,2,RIGHT,0,191,152,4
15,0,NOOP,0,191,168,4
16,1,FIRE,0,191,184,4
17,1,FIRE,0,191,200,4
18,0,NOOP,0,191,216,4
19,3,LEFT,84,160,232,4
20,3,LEFT,178,68,248,4
21,0,NOOP,178,57,8,4
22,0,NOOP,178,57,24,4
23,3,LEFT,184,55,40,4
24,3,LEFT,184,55,56,4
25,3,LEFT,184,55,72,4
26,0,NOOP,184,55,88,4
27,2,RIGHT,98,126,104,4
28,0,NOOP,98,136,120,4
29,0,NOOP,98,136,136,4
30,2,RIGHT,0,191,152,4
31,2,RIGHT,0,191,168,4
32,2,RIGHT,0,191,184,4
33,3,LEFT,84,160,200,4
34,3,LEFT,178,68,216,4
35,1,FIRE,182,55,232,4
36,3,LEFT,184,55,248,4
37,2,RIGHT,98,126,8,4
38,3,LEFT,184,56,24,4
39,2,RIGHT,92,131,40,4
40,3,LEFT,172,74,56,4
41,3,LEFT,184,55,72,4
42,3,LEFT,98,126,136,3
42,0,NOOP(refire),92,142,152,3
43,3,LEFT,178,68,168,3
44,1,FIRE,178,57,184,3
45,1,FIRE,178,57,200,3
46,0,NOOP,178,57,216,3
47,3,LEFT,184,55,232,3
48,3,LEFT,184,55,248,3
49,3,LEFT,184,55,8,3
50,3,LEFT,184,55,24,3
51,2,RIGHT,92,131,40,3
52,1,FIRE,80,154,56,3
53,3,LEFT,172,74,72,3
54,3,LEFT,184,55,88,3
55,3,LEFT,184,55,104,3
56,2,RIGHT,92,131,120,3
57,0,NOOP,92,142,136,3
58,0,NOOP,92,142,152,3
59,3,LEFT,184,62,168,3
60,2,RIGHT,92,131,184,3
61,2,RIGHT,0,191,200,3
62,2,RIGHT,0,191,216,3
63,3,LEFT,84,160,232,3
64,2,RIGHT,0,191,248,3
65,3,LEFT,84,160,8,3
66,2,RIGHT,0,191,24,3
67,2,RIGHT,0,191,40,3
68,2,RIGHT,0,191,56,3
69,3,LEFT,84,160,72,3
70,3,LEFT,178,68,88,3
71,1,FIRE,184,55,104,3
72,2,RIGHT,92,131,120,3
73,0,NOOP,92,142,136,3
74,1,FIRE,92,142,152,3
75,1,FIRE,92,142,168,3
76,3,LEFT,184,62,184,3
77,2,RIGHT,92,131,200,3
78,3,LEFT,184,62,216,3
79,3,LEFT,92,131,24,2
79,0,NOOP(refire),92,142,40,2
80,3,LEFT,184,62,56,2
81,1,FIRE,184,55,72,2
82,1,FIRE,184,55,88,2
83,0,NOOP,184,55,104,2
84,2,RIGHT,98,126,120,2
85,2,RIGHT,0,191,136,2
86,2,RIGHT,0,191,152,2
87,2,RIGHT,0,191,168,2
88,3,LEFT,84,160,184,2
89,2,RIGHT,0,191,200,2
90,3,LEFT,0,191,8,1
90,0,NOOP(refire),0,191,24,1
91,3,LEFT,96,150,40,1
92,3,LEFT,184,57,56,1
93,3,LEFT,184,55,72,1
94,3,LEFT,0,191,136,0
